n_layers,n_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
5,100,28,1.715,0.6071516871452332,0.5398221015930176,0.5398221015930176,72.89999999999999,4.3,56.76,8.0
5,100,19,1.452,0.6006284952163696,0.5164386034011841,0.5164386034011841,75.36,3.6900000000000004,43.24,6.79
5,100,13,1.32,0.6044321656227112,0.5194551944732666,0.5194551944732666,75.98,4.22,48.65,7.76
5,100,12,1.221,0.6025881767272949,0.5137367248535156,0.5137367248535156,76.82,3.92,43.24,7.19
5,100,17,1.39,0.6091634035110474,0.5704175233840942,0.5704175233840942,72.72999999999999,3.9,51.349999999999994,7.249999999999999
5,100,6,1.039,0.6245521306991577,0.4941766858100891,0.4941766858100891,80.92,4.5,40.54,8.110000000000001
5,100,19,1.45,0.6005890369415283,0.5067996382713318,0.5067996382713318,77.78,4.33,45.95,7.91
5,100,42,2.046,0.5798729658126831,0.4769977927207947,0.4769977927207947,77.95,2.6599999999999997,27.029999999999998,4.84
5,100,11,1.285,0.6126067042350769,0.4977625608444214,0.4977625608444214,77.78,4.5600000000000005,48.65,8.33
5,100,39,1.943,0.5911046266555786,0.510933518409729,0.510933518409729,75.14,3.8600000000000003,45.95,7.13
5,100,28,1.682,0.5900568962097168,0.5501207113265991,0.5501207113265991,73.06,3.37,43.24,6.25
5,100,50,2.32,0.594449520111084,0.47888192534446716,0.47888192534446716,79.57,4.71,45.95,8.540000000000001
5,100,60,2.543,0.601003885269165,0.5111991763114929,0.5111991763114929,76.14999999999999,3.81,43.24,7.000000000000001
5,100,14,1.301,0.6002121567726135,0.5001260638237,0.5001260638237,77.5,4.2700000000000005,45.95,7.82
5,100,29,1.732,0.5770052671432495,0.49790823459625244,0.49790823459625244,76.82,3.47,37.84,6.35
5,100,14,1.201,,,0.5684253573417664,72.22,3.83,51.349999999999994,7.13
5,100,25,1.63,0.5890729427337646,0.5292669534683228,0.5292669534683228,75.98,4.0,45.95,7.359999999999999
5,100,62,2.586,0.6005488634109497,0.49637940526008606,0.49637940526008606,78.11,4.63,48.65,8.450000000000001
5,100,17,1.394,0.6027143001556396,0.5123651623725891,0.5123651623725891,77.10000000000001,4.65,51.349999999999994,8.52
5,100,35,1.932,0.5997048616409302,0.5475448369979858,0.5475448369979858,73.4,4.760000000000001,62.160000000000004,8.85
