,ElasticNet,ANOVA,RandomForest,Score
Proline,1.0,0.0,0.0,1.0
flexibility,1.0,0.0,1.0,2.0
SEQ_S,1.0,1.0,0.0,2.0
SEQ_T,0.0,1.0,0.0,1.0
nS/nT_1,1.0,0.0,0.0,1.0
nS/nT_2,1.0,0.0,0.0,1.0
nS/nT_3,1.0,0.0,0.0,1.0
nS/nT_4,0.0,0.0,1.0,1.0
nS/nT_5,1.0,0.0,0.0,1.0
nS/nT_6,1.0,0.0,1.0,2.0
nS/nT_7,1.0,0.0,0.0,1.0
nS/nT_8,1.0,0.0,1.0,2.0
nS/nT_9,1.0,0.0,0.0,1.0
nS/nT_10,1.0,0.0,0.0,1.0
nS/nT_11,1.0,1.0,0.0,2.0
nS/nT_12,0.0,0.0,0.0,0.0
nS/nT_13,1.0,0.0,0.0,1.0
nS/nT_14,0.0,0.0,0.0,0.0
nS/nT_15,1.0,1.0,1.0,3.0
nAli_0,1.0,0.0,0.0,1.0
nAli_1,1.0,0.0,0.0,1.0
nAli_2,1.0,0.0,1.0,2.0
nAli_3,1.0,0.0,1.0,2.0
nPos_0,0.0,0.0,0.0,0.0
nPos_1,1.0,0.0,0.0,1.0
nPos_2,1.0,0.0,0.0,1.0
nPos_3,1.0,0.0,0.0,1.0
phi_psi_alpha,0.0,0.0,0.0,0.0
phi_psi_beta,1.0,0.0,0.0,1.0
phi_psi_other,1.0,0.0,1.0,2.0
SS_C,0.0,0.0,0.0,0.0
SS_E,1.0,0.0,0.0,1.0
SS_H,1.0,0.0,0.0,1.0
side_-1_cycle,0.0,0.0,0.0,0.0
side_-1_gly,0.0,0.0,0.0,0.0
side_-1_long,1.0,0.0,0.0,1.0
side_-1_normal,1.0,0.0,0.0,1.0
side_-1_pro,1.0,0.0,0.0,1.0
side_-1_small,1.0,1.0,1.0,3.0
side_-1_very_small,1.0,1.0,1.0,3.0
side_1_None,0.0,0.0,0.0,0.0
side_1_cycle,1.0,0.0,0.0,1.0
side_1_gly,0.0,0.0,0.0,0.0
side_1_long,0.0,0.0,0.0,0.0
side_1_normal,1.0,0.0,0.0,1.0
side_1_pro,1.0,0.0,0.0,1.0
side_1_small,1.0,0.0,0.0,1.0
side_1_very_small,1.0,0.0,1.0,2.0
side_2_None,1.0,0.0,0.0,1.0
side_2_cycle,1.0,0.0,0.0,1.0
side_2_gly,1.0,1.0,1.0,3.0
side_2_long,1.0,0.0,0.0,1.0
side_2_normal,0.0,0.0,0.0,0.0
side_2_pro,1.0,0.0,0.0,1.0
side_2_small,1.0,0.0,0.0,1.0
side_2_very_small,1.0,0.0,0.0,1.0
side_3_None,0.0,0.0,0.0,0.0
side_3_cycle,1.0,0.0,0.0,1.0
side_3_gly,1.0,0.0,0.0,1.0
side_3_long,1.0,0.0,0.0,1.0
side_3_normal,0.0,0.0,0.0,0.0
side_3_pro,1.0,0.0,1.0,2.0
side_3_small,1.0,0.0,0.0,1.0
side_3_very_small,1.0,0.0,0.0,1.0
side_4_None,0.0,0.0,0.0,0.0
side_4_cycle,0.0,0.0,0.0,0.0
side_4_gly,1.0,1.0,1.0,3.0
side_4_long,0.0,0.0,0.0,0.0
side_4_normal,1.0,0.0,0.0,1.0
side_4_pro,1.0,0.0,0.0,1.0
side_4_small,1.0,0.0,0.0,1.0
side_4_very_small,1.0,0.0,0.0,1.0
side_5_None,0.0,0.0,0.0,0.0
side_5_cycle,1.0,0.0,0.0,1.0
side_5_gly,0.0,0.0,0.0,0.0
side_5_long,1.0,0.0,0.0,1.0
side_5_normal,1.0,0.0,0.0,1.0
side_5_pro,1.0,0.0,1.0,2.0
side_5_small,1.0,0.0,0.0,1.0
side_5_very_small,1.0,0.0,1.0,2.0
residue_SER_THR,1.0,1.0,1.0,3.0
number_of_hydrophobic,0.0,1.0,1.0,2.0
number_of_hydrophilic,0.0,1.0,1.0,2.0
number_of_polar,1.0,0.0,1.0,2.0
number_of_aromatic,0.0,1.0,1.0,2.0
number_of_aliphatic,0.0,0.0,1.0,1.0
number_of_charged,1.0,1.0,1.0,3.0
number_of_positive,0.0,1.0,1.0,2.0
number_of_negative,1.0,1.0,1.0,3.0
number_of_g,1.0,1.0,1.0,3.0
number_of_v,0.0,1.0,1.0,2.0
number_of_s,0.0,1.0,1.0,2.0
number_of_n,0.0,1.0,1.0,2.0
number_of_l,1.0,1.0,1.0,3.0
number_of_p,0.0,1.0,1.0,2.0
number_of_A,0.0,1.0,1.0,2.0
number_of_b,0.0,1.0,1.0,2.0
number_of_d,0.0,1.0,1.0,2.0
number_of_e,1.0,1.0,1.0,3.0
number_of_f,0.0,0.0,1.0,1.0
number_of_ala,0.0,1.0,1.0,2.0
number_of_cys,0.0,0.0,1.0,1.0
number_of_asp,0.0,0.0,1.0,1.0
number_of_glu,0.0,1.0,0.0,1.0
number_of_phe,0.0,0.0,0.0,0.0
number_of_his,0.0,1.0,1.0,2.0
number_of_ile,0.0,1.0,1.0,2.0
number_of_lys,1.0,1.0,1.0,3.0
number_of_leu,1.0,1.0,0.0,2.0
number_of_met,0.0,0.0,1.0,1.0
number_of_asn,1.0,0.0,1.0,2.0
number_of_gln,0.0,1.0,1.0,2.0
number_of_arg,1.0,1.0,1.0,3.0
number_of_ser,1.0,1.0,1.0,3.0
number_of_thr,1.0,0.0,1.0,2.0
number_of_val,0.0,1.0,0.0,1.0
number_of_trp,0.0,1.0,0.0,1.0
number_of_tyr,0.0,0.0,1.0,1.0
sasa_hydrophobic,0.0,0.0,1.0,1.0
sasa_hydrophilic,0.0,0.0,1.0,1.0
sasa_polar,0.0,0.0,1.0,1.0
sasa_aromatic,0.0,0.0,1.0,1.0
sasa_aliphatic,0.0,0.0,1.0,1.0
sasa_charged,0.0,0.0,1.0,1.0
sasa_positive,0.0,0.0,1.0,1.0
