n_layers,n_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
5,100,29,1.229,0.5114169120788574,0.4512145519256592,0.4512145519256592,77.61,5.64,62.160000000000004,10.34
5,100,34,1.33,0.48803985118865967,0.4415355324745178,0.4415355324745178,78.68,4.99,51.349999999999994,9.09
5,100,13,0.888,0.48628729581832886,0.4893195331096649,0.4893195331096649,77.33,4.47,48.65,8.18
5,100,22,1.059,0.4906015694141388,0.4670092761516571,0.4670092761516571,77.10000000000001,4.2,45.95,7.6899999999999995
5,100,11,0.85,0.49132388830184937,0.518288254737854,0.518288254737854,74.07000000000001,4.1000000000000005,51.349999999999994,7.6
5,100,18,0.97,0.4835837185382843,0.4759071171283722,0.4759071171283722,76.42999999999999,3.4099999999999997,37.84,6.25
5,100,1,0.704,0.5060102343559265,0.4353354871273041,0.4353354871273041,79.17999999999999,3.35,32.43,6.08
5,100,29,1.263,0.4560507833957672,0.40911659598350525,0.40911659598350525,81.99,2.67,21.62,4.75
5,100,25,1.214,0.5081742405891418,0.44956427812576294,0.44956427812576294,77.95,4.590000000000001,48.65,8.39
5,100,2,0.696,0.5150097012519836,0.4718005359172821,0.4718005359172821,75.7,5.0,59.46,9.22
5,100,44,1.57,0.4793761670589447,0.4602487087249756,0.4602487087249756,76.71,3.6799999999999997,40.54,6.74
5,100,14,0.957,0.5080510377883911,0.4201916754245758,0.4201916754245758,80.19,6.11,59.46,11.08
5,100,1,0.665,0.5297563076019287,0.4512452483177185,0.4512452483177185,78.0,5.510000000000001,59.46,10.09
5,100,7,0.806,0.484190434217453,0.44799500703811646,0.44799500703811646,78.4,4.21,43.24,7.670000000000001
5,100,19,1.089,0.47277703881263733,0.48090195655822754,0.48090195655822754,78.4,4.21,43.24,7.670000000000001
5,100,0,0.659,0.5582693219184875,0.4369508922100067,0.4369508922100067,78.9,5.28,54.05,9.62
5,100,43,1.572,0.48388463258743286,0.5065400004386902,0.5065400004386902,75.08,3.85,45.95,7.109999999999999
5,100,13,0.955,0.4900711476802826,0.41301393508911133,0.41301393508911133,80.30000000000001,5.65,54.05,10.23
5,100,1,0.73,0.5146326422691345,0.3982957899570465,0.3982957899570465,83.39,5.19,40.54,9.2
5,100,0,0.688,0.5565144419670105,0.4213389754295349,0.4213389754295349,80.64,6.0,56.76,10.85
