rnn_layers,rnn_neurons,dnn_layers,dnn_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
2,100,5,100,28,3.22,0.006071576,0.037955213,0.234421268,96.97,27.03,27.03,27.03
2,100,5,100,22,2.998,0.015269904,0.023142207,0.297737896,97.25,28.57,21.62,24.62
2,100,5,100,41,4.193,0.006573963,0.033594567,0.329021633,97.47,33.33,21.62,26.23
2,100,5,100,66,5.485,0.000686759,0.010365758,0.204109013,97.59,37.5,24.32,29.51
2,100,5,100,28,3.194,0.003985317,0.019285031,0.210518733,97.25,34.21,35.14,34.67
2,100,5,100,32,3.443,0.00241209,0.019160945,0.31060487,97.03,25,21.62,23.19
2,100,5,100,29,3.236,0.000892419,0.025894647,0.260522753,97.36,30.77,21.62,25.4
2,100,5,100,29,3.488,0.00683454,0.020774925,0.41220963,97.47,33.33,21.62,26.23
2,100,5,100,49,4.674,0.009370024,0.035575733,0.300844491,97.47,36.67,29.73,32.84
2,100,5,100,67,5.534,0.000598336,0.019334303,0.382042676,97.14,11.11,5.41,7.27
