n_layers,n_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
5,100,4,1.306,0.3050479292869568,0.32393360137939453,0.32393360137939453,86.36,5.6000000000000005,35.14,9.67
5,100,2,1.221,0.32224756479263306,0.30829939246177673,0.30829939246177673,86.76,4.9799999999999995,29.73,8.53
5,100,15,1.675,0.2761516273021698,0.2849654257297516,0.2849654257297516,88.44,7.960000000000001,43.24,13.450000000000001
5,100,2,1.176,0.33257612586021423,0.32984301447868347,0.32984301447868347,85.19,5.140000000000001,35.14,8.97
5,100,3,1.22,0.31561702489852905,0.42422714829444885,0.42422714829444885,83.28,6.35,51.349999999999994,11.31
5,100,17,1.795,0.2918400764465332,0.34816619753837585,0.34816619753837585,88.66000000000001,4.92,24.32,8.18
5,100,5,1.293,0.29191210865974426,0.32173651456832886,0.32173651456832886,85.8,5.74,37.84,9.959999999999999
5,100,5,1.296,0.28745314478874207,0.3588220775127411,0.3588220775127411,85.47,3.36,21.62,5.82
5,100,1,1.205,0.35246267914772034,0.27691850066185,0.27691850066185,88.05,6.4399999999999995,35.14,10.879999999999999
5,100,3,1.21,0.332629919052124,0.3835584223270416,0.3835584223270416,81.03,3.9800000000000004,35.14,7.140000000000001
5,100,19,1.803,0.2688257098197937,0.315913587808609,0.315913587808609,89.67,5.45,24.32,8.91
5,100,0,1.133,0.42069011926651,0.27580782771110535,0.27580782771110535,88.38000000000001,7.5,40.54,12.659999999999998
5,100,7,1.431,0.3039900064468384,0.3554614186286926,0.3554614186286926,85.47,2.97,18.92,5.13
5,100,10,1.513,0.28561970591545105,0.35373038053512573,0.35373038053512573,87.92999999999999,3.65,18.92,6.11
5,100,3,1.317,0.301686555147171,0.3417304754257202,0.3417304754257202,88.5,5.79,29.73,9.69
5,100,1,1.166,0.35716599225997925,0.3534316122531891,0.3534316122531891,84.78999999999999,5.680000000000001,40.54,9.969999999999999
5,100,12,1.554,0.2747425436973572,0.3207303285598755,0.3207303285598755,89.23,6.7,32.43,11.110000000000001
5,100,6,1.341,0.2973026633262634,0.23061591386795044,0.23061591386795044,91.19,8.33,32.43,13.26
5,100,4,1.253,0.31095635890960693,0.3876412510871887,0.3876412510871887,84.11999999999999,4.1000000000000005,29.73,7.21
5,100,3,1.19,0.33517831563949585,0.2781728506088257,0.2781728506088257,88.22,6.529999999999999,35.14,11.020000000000001
