n_layers,n_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
5,100,113,1.678,0.5664876103401184,0.5662768483161926,0.5759434103965759,66.44,4.09,67.57,7.720000000000001
5,100,105,1.563,0.5488772392272949,0.5424157381057739,0.5283121466636658,71.04,4.38,62.160000000000004,8.19
5,100,69,1.159,0.5692290663719177,0.5652669072151184,0.5806417465209961,67.45,4.06,64.86,7.64
5,100,108,1.552,0.5509079694747925,0.544310450553894,0.5549763441085815,69.53,3.66,54.05,6.859999999999999
5,100,102,1.498,0.5577117204666138,0.5630289316177368,0.586550772190094,66.05,3.9,64.86,7.35
5,100,148,1.987,0.5616153478622437,0.5566833019256592,0.5795435905456543,67.96,4.590000000000001,72.97,8.64
5,100,58,0.981,0.5504880547523499,0.5471535325050354,0.5482945442199707,70.15,4.25,62.160000000000004,7.960000000000001
5,100,214,2.69,0.5322729349136353,0.5336974859237671,0.515387773513794,72.05,3.05,40.54,5.680000000000001
5,100,263,2.628,0.569790244102478,0.5739225745201111,0.542827844619751,70.43,4.96,72.97,9.29
5,100,24,0.52,0.5639962553977966,0.5607284903526306,0.6010053157806396,67.56,3.44,54.05,6.47
