n_layers,n_neurons,c,random_state,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
5,100,0.0001,11,20,0.498,0.5966106653213501,0.5230703353881836,0.5230703353881836,75.81,3.54,40.54,6.510000000000001
5,100,0.0001,12,29,0.614,0.6033694744110107,0.5091649293899536,0.5091649293899536,76.99000000000001,4.3999999999999995,48.65,8.07
5,100,0.0001,13,37,0.752,0.6062222123146057,0.4929135739803314,0.4929135739803314,77.22,3.7600000000000002,40.54,6.88
5,100,0.0001,14,11,0.433,0.6069663166999817,0.5176368355751038,0.5176368355751038,78.0,3.9,40.54,7.109999999999999
5,100,0.0001,15,6,0.381,0.6129739880561829,0.5274165272712708,0.5274165272712708,77.5,3.5700000000000003,37.84,6.529999999999999
5,100,1e-05,11,40,0.763,0.5741477608680725,0.5165854096412659,0.5165854096412659,74.64,3.37,40.54,6.22
5,100,1e-05,12,34,0.667,0.5847495198249817,0.4986652135848999,0.4986652135848999,76.25999999999999,4.05,45.95,7.4399999999999995
5,100,1e-05,13,21,0.503,,,0.5578875541687012,70.93,4.02,56.76,7.5
5,100,1e-05,14,22,0.552,0.5786706805229187,0.5063973069190979,0.5063973069190979,75.64999999999999,3.73,43.24,6.87
5,100,1e-05,15,43,0.729,0.560852587223053,0.5186036229133606,0.5186036229133606,74.19,3.52,43.24,6.5
5,100,1e-06,11,12,0.468,0.5768682956695557,0.5054423213005066,0.5054423213005066,75.98,3.34,37.84,6.140000000000001
5,100,1e-06,12,22,0.715,0.5822875499725342,0.49254587292671204,0.49254587292671204,76.77000000000001,4.14,45.95,7.59
5,100,1e-06,13,5,0.468,0.5969561338424683,0.5186779499053955,0.5186779499053955,74.58,3.7800000000000002,45.95,6.98
5,100,1e-06,14,72,1.208,0.5676444172859192,0.5088593363761902,0.5088593363761902,74.97,3.84,45.95,7.08
5,100,1e-06,15,57,0.949,0.5547740459442139,0.5294018387794495,0.5294018387794495,72.67,3.32,43.24,6.17
5,100,1e-07,11,13,0.486,0.5715212821960449,0.5307621359825134,0.5307621359825134,73.74000000000001,3.66,45.95,6.77
5,100,1e-07,12,22,0.689,0.5794395804405212,0.48235538601875305,0.48235538601875305,76.77000000000001,4.14,45.95,7.59
5,100,1e-07,13,17,0.629,0.5846784710884094,0.5011972784996033,0.5011972784996033,74.97,3.63,43.24,6.69
5,100,1e-07,14,0,0.368,0.6012667417526245,0.4229844808578491,0.4229844808578491,83.28,3.56,27.029999999999998,6.29
5,100,1e-07,15,9,0.459,0.5597970485687256,0.4949670433998108,0.4949670433998108,75.7,3.3000000000000003,37.84,6.069999999999999
5,100,1e-08,11,0,0.382,0.5992744565010071,0.5096763968467712,0.5096763968467712,74.52,3.36,40.54,6.2
5,100,1e-08,12,46,0.851,0.5770559310913086,0.5250802040100098,0.5250802040100098,73.29,3.5900000000000003,45.95,6.67
5,100,1e-08,13,0,0.418,0.6148794293403625,0.47466912865638733,0.47466912865638733,77.66999999999999,4.07,43.24,7.4399999999999995
5,100,1e-08,14,0,0.57,0.6022670865058899,0.46476128697395325,0.46476128697395325,81.2,3.73,32.43,6.69
5,100,1e-08,15,10,0.777,0.5570882558822632,0.519756019115448,0.519756019115448,74.02,3.08,37.84,5.7
