rnn_layers,rnn_neurons,dnn_layers,dnn_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
2,100,5,100,41,4.021,0.016912363469600677,0.14522399008274078,0.14522399008274078,96.07,18.87,27.029999999999998,22.220000000000002
2,100,5,100,27,3.264,0.0028773057274520397,0.19026893377304077,0.19026893377304077,97.53,38.71,32.43,35.29
2,100,5,100,53,4.667,0.016500070691108704,0.16513141989707947,0.16513141989707947,97.25,30.0,24.32,26.87
2,100,5,100,7,2.085,0.03254549205303192,0.16677305102348328,0.16677305102348328,97.47,39.47,40.54,40.0
2,100,5,100,3,1.911,0.09611941128969193,0.16234742105007172,0.16234742105007172,97.03,34.62,48.65,40.45
2,100,5,100,46,4.259,0.007887601852416992,0.2389395534992218,0.2389395534992218,97.08,20.0,13.51,16.13
2,100,5,100,11,2.368,0.023438552394509315,0.20197387039661407,0.20197387039661407,96.07,21.05,32.43,25.53
2,100,5,100,37,3.773,0.020431874319911003,0.1892847865819931,0.1892847865819931,96.75,24.39,27.029999999999998,25.64
2,100,5,100,9,2.263,0.02806314080953598,0.192323699593544,0.192323699593544,95.62,21.92,43.24,29.09
2,100,5,100,21,2.899,0.011350804008543491,0.2540414333343506,0.2540414333343506,94.16,9.64,21.62,13.33
2,100,5,100,26,3.141,0.021569611504673958,0.16064667701721191,0.16064667701721191,96.35000000000001,20.830000000000002,27.029999999999998,23.53
2,100,5,100,2,1.882,0.13426223397254944,0.23131081461906433,0.23131081461906433,95.62,12.73,18.92,15.22
2,100,5,100,23,2.991,0.019174693152308464,0.227733314037323,0.227733314037323,96.46000000000001,3.5700000000000003,2.7,3.08
2,100,5,100,20,2.798,0.012237675487995148,0.14666342735290527,0.14666342735290527,97.76,45.16,37.84,41.18
2,100,5,100,31,3.44,0.008779948577284813,0.22506506741046906,0.22506506741046906,97.08,17.39,10.81,13.33
2,100,5,100,15,2.545,0.017786690965294838,0.18288955092430115,0.18288955092430115,96.17999999999999,20.75,29.73,24.44
2,100,5,100,17,2.623,0.014788523316383362,0.18547874689102173,0.18547874689102173,96.63000000000001,15.15,13.51,14.29
2,100,5,100,20,2.838,0.01165939960628748,0.15986187756061554,0.15986187756061554,97.19,35.56,43.24,39.019999999999996
2,100,5,100,17,2.699,0.025519508868455887,0.15264391899108887,0.15264391899108887,97.14,34.78,43.24,38.550000000000004
2,100,5,100,6,2.104,0.03705330565571785,0.1333342343568802,0.1333342343568802,96.91,28.57,32.43,30.380000000000003
