epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
21,1.968,0.0004030343261547,0.0202450919896364,0.5306557416915894,97.42,23.53,10.81,14.81
9,1.539,0.009856685996055603,0.028226112946867943,0.40070995688438416,96.91,17.86,13.51,15.379999999999999
5,1.308,0.008609369397163391,0.03592657297849655,0.3850155174732208,97.03,16.669999999999998,10.81,13.11
22,1.891,0.017765380442142487,0.011632455512881279,0.34290415048599243,97.14,25.0,18.92,21.54
21,1.903,0.00980876199901104,0.01765294000506401,0.39163005352020264,97.25,28.57,21.62,24.62
27,2.072,0.00799055676907301,0.02084883116185665,0.4333191215991974,97.31,26.090000000000003,16.220000000000002,20.0
16,1.719,0.023106539621949196,0.03271930664777756,0.3110694885253906,96.91,17.86,13.51,15.379999999999999
22,1.992,0.017413724213838577,0.02419842965900898,0.4282078742980957,97.59,25.0,8.110000000000001,12.24
40,2.714,0.0009262117091566324,0.01597530208528042,0.4761059284210205,97.87,47.06,21.62,29.630000000000003
50,3.255,0.0016287670005112886,0.018109411001205444,0.4152933359146118,97.08,17.39,10.81,13.33
