epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
33,6.862,0.006625215522944927,0.005408966913819313,0.235076442360878,98.61,36.59,14.42,20.69
20,5.506,0.0027129596564918756,0.004163097124546766,0.4072580933570862,98.72999999999999,47.620000000000005,9.62,16.0
25,5.953,0.0019147195853292942,0.006682200822979212,0.2833593487739563,98.63,32.0,7.6899999999999995,12.4
62,9.992,0.0003312584012746811,0.004112809896469116,0.27970993518829346,98.49,8.0,1.92,3.1
34,6.979,0.003381292335689068,0.004650989547371864,0.36116287112236023,98.5,16.669999999999998,4.81,7.46
7,4.031,0.005506133195012808,0.004320134408771992,0.23338612914085388,98.64,34.62,8.649999999999999,13.850000000000001
19,5.314,0.004664257634431124,0.006504541262984276,0.20943892002105713,98.59,28.57,7.6899999999999995,12.120000000000001
9,4.254,0.009670823812484741,0.0057258144952356815,0.22240038216114044,98.64,36.67,10.58,16.42
56,9.23,0.0008531400235369802,0.004206967074424028,0.3100654184818268,98.52,23.53,7.6899999999999995,11.59
30,6.542,0.003331885440275073,0.005314619280397892,0.2812374532222748,98.72,46.43,12.5,19.7
