rnn_layers,rnn_neurons,dnn_layers,dnn_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
2,100,5,100,36,3.855,0.004374195355921984,0.19023284316062927,0.19023284316062927,97.03,25.0,21.62,23.189999999999998
2,100,5,100,8,2.21,0.03362853452563286,0.2028389871120453,0.2028389871120453,95.39999999999999,20.78,43.24,28.07
2,100,5,100,45,4.288,0.01425744779407978,0.16533376276493073,0.16533376276493073,97.03,30.0,32.43,31.169999999999998
2,100,5,100,11,2.428,0.020052041858434677,0.1763981580734253,0.1763981580734253,95.39999999999999,19.18,37.84,25.45
2,100,5,100,21,2.939,0.014587840996682644,0.1638127714395523,0.1638127714395523,96.52,27.27,40.54,32.61
2,100,5,100,18,2.838,0.026524674147367477,0.19376574456691742,0.19376574456691742,95.85000000000001,15.09,21.62,17.78
2,100,5,100,32,3.633,0.006404070649296045,0.19812661409378052,0.19812661409378052,96.8,23.68,24.32,24.0
2,100,5,100,60,5.302,0.011773280799388885,0.14565715193748474,0.14565715193748474,97.36,30.769999999999996,21.62,25.4
2,100,5,100,7,2.266,0.042723290622234344,0.18308524787425995,0.18308524787425995,96.13000000000001,23.330000000000002,37.84,28.87
2,100,5,100,9,2.378,0.04206205904483795,0.20478132367134094,0.20478132367134094,96.35000000000001,18.18,21.62,19.75
2,100,5,100,6,2.193,0.05164927989244461,0.171399787068367,0.171399787068367,96.75,23.080000000000002,24.32,23.68
2,100,5,100,25,3.3,0.020968466997146606,0.20058582723140717,0.20058582723140717,96.46000000000001,15.790000000000001,16.220000000000002,16.0
2,100,5,100,16,2.745,0.01320383045822382,0.2173435539007187,0.2173435539007187,96.07,7.6899999999999995,8.110000000000001,7.89
2,100,5,100,12,2.567,0.017103536054491997,0.15913715958595276,0.15913715958595276,97.87,48.15,35.14,40.62
2,100,5,100,20,3.039,0.013308791443705559,0.26092398166656494,0.26092398166656494,96.8,11.540000000000001,8.110000000000001,9.520000000000001
2,100,5,100,20,3.014,0.012322302907705307,0.19087043404579163,0.19087043404579163,96.63000000000001,23.26,27.029999999999998,25.0
2,100,5,100,9,2.373,0.028436053544282913,0.22715997695922852,0.22715997695922852,95.96000000000001,11.110000000000001,13.51,12.2
2,100,5,100,16,2.808,0.015620458871126175,0.14080317318439484,0.14080317318439484,97.42,34.48,27.029999999999998,30.3
2,100,5,100,33,3.833,0.02220628410577774,0.16235390305519104,0.16235390305519104,97.25,36.36,43.24,39.51
2,100,5,100,19,3.057,0.03324132040143013,0.17999114096164703,0.17999114096164703,97.08,29.73,29.73,29.73
