n_layers,n_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
5,100,7,0.735,0.5154107213020325,0.4278276860713959,0.4278276860713959,78.84,5.029999999999999,51.349999999999994,9.16
5,100,38,1.201,0.49188002943992615,0.47468388080596924,0.47468388080596924,75.98,3.7800000000000002,43.24,6.959999999999999
5,100,12,0.717,0.49142593145370483,0.4436469078063965,0.4436469078063965,78.23,3.6900000000000004,37.84,6.7299999999999995
5,100,39,1.193,0.49034759402275085,0.4615211486816406,0.4615211486816406,77.44,4.26,45.95,7.8
5,100,3,0.606,0.510483980178833,0.4861418902873993,0.4861418902873993,75.31,3.6799999999999997,43.24,6.78
5,100,26,1.021,0.4884447455406189,0.46475985646247864,0.46475985646247864,77.05,3.27,35.14,5.9799999999999995
5,100,7,0.669,0.49224409461021423,0.4152297079563141,0.4152297079563141,80.53,3.5900000000000003,32.43,6.47
5,100,3,0.574,0.47606849670410156,0.3826678991317749,0.3826678991317749,82.38,3.05,24.32,5.42
5,100,3,0.657,0.5263038277626038,0.4351414144039154,0.4351414144039154,79.85,3.74,35.14,6.75
5,100,37,1.244,0.49580392241477966,0.4795023798942566,0.4795023798942566,74.64,3.58,43.24,6.61
5,100,11,0.793,0.49269112944602966,0.46821579337120056,0.46821579337120056,75.81,3.1,35.14,5.6899999999999995
5,100,1,0.602,0.531379759311676,0.35390087962150574,0.35390087962150574,84.61999999999999,4.6,32.43,8.05
5,100,0,0.585,0.565862238407135,0.4714612662792206,0.4714612662792206,75.42,4.9399999999999995,59.46,9.13
5,100,11,0.953,0.486294150352478,0.419827401638031,0.419827401638031,80.81,4.4799999999999995,40.54,8.06
5,100,1,0.686,0.5009863376617432,0.4669058918952942,0.4669058918952942,76.99000000000001,3.95,43.24,7.24
5,100,6,0.711,0.5075342655181885,0.4464610815048218,0.4464610815048218,78.23,3.94,40.54,7.180000000000001
5,100,2,0.649,0.5007317662239075,0.46396008133888245,0.46396008133888245,78.4,4.6899999999999995,48.65,8.55
5,100,0,0.642,0.5546356439590454,0.4242585003376007,0.4242585003376007,80.08,5.34,51.349999999999994,9.67
5,100,18,0.988,0.49166423082351685,0.47017520666122437,0.47017520666122437,76.49000000000001,4.09,45.95,7.51
5,100,3,0.668,0.5108239054679871,0.45541051030158997,0.45541051030158997,77.44,4.26,45.95,7.8
