epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
20,1.208,0.01003160048276186,0.008307576179504395,0.47374194860458374,97.87,33.33,2.7,5.0
20,1.207,0.002588084200397134,0.008691134862601757,0.24685987830162048,97.87,44.440000000000005,10.81,17.39
22,1.257,0.0023177906405180693,0.011207254603505135,0.23691107332706451,97.64,33.33,13.51,19.23
17,1.122,0.003924257587641478,0.004309031646698713,0.28692561388015747,97.7,37.5,16.220000000000002,22.64
7,0.916,0.00413588946685195,0.014219610020518303,0.26540884375572205,97.87,47.06,21.62,29.630000000000003
4,0.82,0.018675940111279488,0.010159260593354702,0.2826515734195709,97.98,55.559999999999995,13.51,21.740000000000002
8,0.941,0.0022908649407327175,0.0034694357309490442,0.2371341586112976,97.81,33.33,5.41,9.3
2,0.771,0.009350568987429142,0.00849488377571106,0.35123881697654724,97.7,33.33,10.81,16.33
42,1.728,0.0014846278354525566,0.0039959256537258625,0.2652425169944763,97.98,53.849999999999994,18.92,28.000000000000004
13,1.056,0.002856738166883588,0.005435807630419731,0.27557846903800964,97.59,12.5,2.7,4.44
