,ElasticNet,ANOVA,RandomForest,Score
Proline,1.0,0.0,0.0,1.0
flexibility,1.0,1.0,1.0,3.0
SEQ_S,1.0,0.0,1.0,2.0
SEQ_T,0.0,0.0,1.0,1.0
nS/nT_1,1.0,0.0,0.0,1.0
nS/nT_2,1.0,0.0,1.0,2.0
nS/nT_3,1.0,0.0,1.0,2.0
nS/nT_4,1.0,0.0,1.0,2.0
nS/nT_5,1.0,0.0,1.0,2.0
nS/nT_6,0.0,0.0,1.0,1.0
nS/nT_7,1.0,0.0,1.0,2.0
nS/nT_8,1.0,0.0,1.0,2.0
nS/nT_9,0.0,0.0,1.0,1.0
nS/nT_10,1.0,0.0,1.0,2.0
nS/nT_11,1.0,0.0,0.0,1.0
nS/nT_12,1.0,0.0,0.0,1.0
nS/nT_13,0.0,0.0,0.0,0.0
nS/nT_14,0.0,0.0,0.0,0.0
nS/nT_15,0.0,0.0,0.0,0.0
nS/nT_16,0.0,0.0,0.0,0.0
nS/nT_17,0.0,0.0,0.0,0.0
nS/nT_18,0.0,0.0,0.0,0.0
nS/nT_19,0.0,0.0,0.0,0.0
nS/nT_20,0.0,0.0,0.0,0.0
nS/nT_21,0.0,0.0,0.0,0.0
nAli_0,1.0,0.0,1.0,2.0
nAli_1,1.0,0.0,1.0,2.0
nAli_2,1.0,0.0,1.0,2.0
nAli_3,1.0,0.0,1.0,2.0
nPos_0,1.0,0.0,1.0,2.0
nPos_1,1.0,0.0,1.0,2.0
nPos_2,0.0,0.0,1.0,1.0
nPos_3,0.0,0.0,0.0,0.0
phi_psi_alpha,1.0,0.0,1.0,2.0
phi_psi_beta,1.0,0.0,1.0,2.0
phi_psi_other,0.0,0.0,1.0,1.0
SS_C,1.0,0.0,1.0,2.0
SS_E,0.0,0.0,0.0,0.0
SS_H,0.0,0.0,0.0,0.0
side_-1_None,0.0,0.0,0.0,0.0
side_-1_cycle,0.0,0.0,0.0,0.0
side_-1_gly,0.0,0.0,1.0,1.0
side_-1_long,0.0,0.0,1.0,1.0
side_-1_normal,1.0,0.0,1.0,2.0
side_-1_pro,1.0,0.0,0.0,1.0
side_-1_small,1.0,0.0,1.0,2.0
side_-1_very_small,1.0,0.0,1.0,2.0
side_1_None,0.0,0.0,0.0,0.0
side_1_cycle,0.0,0.0,1.0,1.0
side_1_gly,0.0,0.0,1.0,1.0
side_1_long,1.0,0.0,1.0,2.0
side_1_normal,0.0,0.0,1.0,1.0
side_1_pro,1.0,0.0,0.0,1.0
side_1_small,1.0,0.0,1.0,2.0
side_1_very_small,1.0,0.0,1.0,2.0
side_2_None,0.0,0.0,0.0,0.0
side_2_cycle,1.0,0.0,1.0,2.0
side_2_gly,1.0,0.0,1.0,2.0
side_2_long,1.0,0.0,1.0,2.0
side_2_normal,1.0,0.0,1.0,2.0
side_2_pro,0.0,0.0,1.0,1.0
side_2_small,1.0,0.0,1.0,2.0
side_2_very_small,1.0,0.0,1.0,2.0
side_3_None,0.0,0.0,0.0,0.0
side_3_cycle,1.0,0.0,1.0,2.0
side_3_gly,1.0,0.0,1.0,2.0
side_3_long,1.0,0.0,1.0,2.0
side_3_normal,0.0,0.0,1.0,1.0
side_3_pro,0.0,0.0,1.0,1.0
side_3_small,0.0,0.0,1.0,1.0
side_3_very_small,1.0,0.0,1.0,2.0
side_4_None,0.0,0.0,0.0,0.0
side_4_cycle,0.0,0.0,1.0,1.0
side_4_gly,1.0,0.0,1.0,2.0
side_4_long,1.0,0.0,1.0,2.0
side_4_normal,1.0,0.0,1.0,2.0
side_4_pro,0.0,0.0,1.0,1.0
side_4_small,1.0,0.0,1.0,2.0
side_4_very_small,0.0,0.0,1.0,1.0
side_5_None,0.0,0.0,0.0,0.0
side_5_cycle,1.0,0.0,1.0,2.0
side_5_gly,1.0,0.0,1.0,2.0
side_5_long,0.0,0.0,1.0,1.0
side_5_normal,1.0,0.0,1.0,2.0
side_5_pro,0.0,0.0,1.0,1.0
side_5_small,0.0,0.0,1.0,1.0
side_5_very_small,1.0,0.0,1.0,2.0
