epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
15,1.444,0.0012545809149742,0.0100338077172636,0.3872605860233307,97.87,44.440000000000005,10.81,17.39
35,1.88,0.003200732870027423,0.009517067112028599,0.28324460983276367,97.64,27.27,8.110000000000001,12.5
22,1.449,0.0008042940171435475,0.014399055391550064,0.364225298166275,97.92,50.0,13.51,21.279999999999998
63,2.611,0.004566016141325235,0.006141855847090483,0.36365827918052673,97.7,40.0,21.62,28.07
8,1.072,0.010988450609147549,0.013252249918878078,0.2920594811439514,97.76,41.18,18.92,25.929999999999996
29,1.684,0.002994843292981386,0.012037402018904686,0.3980215787887573,97.7,33.33,10.81,16.33
19,1.389,0.001994299003854394,0.00617632269859314,0.3621910512447357,97.64,30.769999999999996,10.81,16.0
15,1.255,0.009467894211411476,0.013035343959927559,0.465982586145401,97.76,36.36,10.81,16.669999999999998
16,1.285,0.004376493394374847,0.011743146926164627,0.3181785047054291,97.92,50.0,21.62,30.19
3,0.936,0.02018705941736698,0.004040759056806564,0.27731841802597046,97.7,0.0,0.0,0.0
